Char;W1;W2;W3;W4;NW1;NW2;NW3;NW4;Cx;Cy;NCx;NCy;Ix;Iy;NIx;NIy
ا;7650;5865;4080;10710;164.51612903225808;126.12903225806451;87.74193548387096;230.32258064516128;2.828828828828829;15.108108108108109;0.47147147147147145;0.4873583260680035;7866.7027027027025;169.7477477477477;8.185954945580336;4.715215215215213
ب;12495;11220;18615;22440;51.41975308641975;46.17283950617284;76.60493827160494;92.34567901234568;18.133858267716537;12.681102362204724;0.5037182852143482;0.46967045785943423;8541.169291338581;34967.44881889764;11.71628160677446;26.981056187421018
پ;27795;29580;7140;14535;90.83333333333333;96.66666666666667;23.333333333333332;47.5;18.34193548387097;15.490322580645161;0.5094982078853048;0.4555977229601518;20049.470967741938;35693.754838709676;17.343833017077802;27.54147749900438
ت;9435;10710;25500;26265;41.93333333333333;47.6;113.33333333333333;116.73333333333333;18.04255319148936;16.088652482269502;0.5011820330969267;0.6435460992907801;16246.783687943263;35541.48936170213;25.99485390070922;27.423988705017077
ث;14535;9435;26775;28305;53.833333333333336;34.94444444444444;99.16666666666667;104.83333333333333;17.81290322580645;19.40967741935484;0.49480286738351253;0.6469892473118279;25110.970967741938;35769.14838709678;27.9010788530466;27.599651533253688
ج;24480;19890;23205;15810;114.12587412587412;92.72727272727273;108.18181818181819;73.7062937062937;10.795107033639145;14.899082568807339;0.41519642437073634;0.45148735056991934;44451.669724770654;14429.272171253822;40.81879680878848;21.345077176410978
چ;28050;25245;24480;20400;130.76923076923077;117.6923076923077;114.12587412587412;95.1048951048951;11.451948051948053;14.98961038961039;0.4404595404595405;0.4542306178669815;45335.95844155844;16049.361038961039;41.63081583246872;23.74165834165834
ح;24480;16575;22950;12750;114.12587412587412;77.27272727272727;106.99300699300699;59.44055944055944;10.43189368770764;14.847176079734218;0.4012266802964477;0.4499144266586127;44390.97009966777;13869.853820598008;40.763057942761954;20.517535237571018
خ;24225;20145;26775;12750;84.7027972027972;70.43706293706293;93.61888111888112;44.58041958041958;10.60790273556231;23.86018237082067;0.40799625906008885;0.5422768720641061;58417.56838905775;14042.419452887538;30.174363837323217;20.772809841549613
د;1275;9435;9180;12495;15.9375;117.9375;114.75;156.1875;9.118110236220472;12.385826771653543;0.5698818897637795;0.6192913385826772;4742.094488188978;2459.228346456693;11.855236220472445;9.606360728346457
ذ;7395;3570;9435;18615;59.63709677419355;28.79032258064516;76.08870967741936;150.1209677419355;8.418300653594772;19.836601307189543;0.5261437908496732;0.6398903647480497;14206.915032679735;2885.2287581699347;14.783470377398269;11.270424836601308
ر;0;12750;8925;19380;0.0;75.55555555555556;52.888888888888886;114.84444444444445;16.63975155279503;16.51552795031056;0.6655900621118012;0.6116862203818726;10194.211180124224;6437.105590062112;13.983828779319923;10.29936894409938
ز;0;15555;8925;23715;0.0;65.49473684210527;37.578947368421055;99.85263157894737;16.666666666666668;23.793650793650794;0.6666666666666667;0.6261487050960736;25304.95238095238;6509.999999999999;17.52420524996702;10.415999999999999
ژ;255;25245;8925;27030;0.9488372093023256;93.93488372093023;33.2093023255814;100.57674418604651;16.53941908713693;23.91701244813278;0.6615767634854772;0.5562095918170414;46922.34024896266;7159.875518672199;25.377144537026858;11.45580082987552
س;4845;32640;30855;15810;17.747252747252748;119.56043956043956;113.02197802197803;57.91208791208791;21.006060606060608;14.121212121212121;0.5001443001443002;0.5431235431235432;16233.151515151516;55443.98787878788;24.013537744306976;31.43083213083213
ش;510;28560;35190;39780;1.1564625850340136;64.76190476190476;79.79591836734694;90.20408163265306;23.17156862745098;25.605392156862745;0.5517040149393091;0.6096521942110178;52261.468137254895;64255.99019607842;29.626682617491436;36.42629829709661
ص;15810;48705;39525;14280;43.434065934065934;133.80494505494505;108.58516483516483;39.23076923076923;29.66810344827586;12.211206896551724;0.5297875615763546;0.46966180371352784;23331.30172413793;139694.8879310345;34.513759946949605;44.54556375351865
ض;9435;32130;45900;37995;19.255102040816325;65.57142857142857;93.6734693877551;77.54081632653062;30.0;20.146341463414632;0.5357142857142857;0.5756097560975609;32639.463414634145;140656.0;26.644459930313587;44.85204081632653
ط;17850;0;29835;39780;65.625;0.0;109.6875;146.25;16.408163265306122;23.58600583090379;0.5127551020408163;0.6937060538501115;29389.21282798834;22954.85714285714;25.423194487879186;22.416852678571427
ظ;17850;7140;29835;39780;65.625;26.25;109.6875;146.25;16.79245283018868;22.673854447439354;0.5247641509433962;0.6668780719835103;33233.53638814016;23689.018867924526;28.74873389977522;23.133807488207545
ع;39270;12240;27030;11730;147.35459662288932;45.928705440900565;101.42589118198875;44.01500938086304;8.497175141242938;19.951977401129945;0.3268144285093438;0.4866335951495108;62470.183615819216;13262.497175141241;37.16251256146295;19.61907866145154
غ;37485;11985;35445;11985;110.90236686390533;35.4585798816568;104.86686390532545;35.4585798816568;8.463157894736842;29.00526315789474;0.3255060728744939;0.5577935222672065;82127.98947368423;13328.484210526316;30.3727771722205;19.71669261912177
ف;1785;12240;27540;44370;6.219512195121951;42.64808362369338;95.9581881533101;154.5993031358885;24.465875370919882;19.887240356083087;0.5967286675834118;0.7102585841458245;16163.715133531157;56735.85756676558;20.616983588687702;33.75125375774276
ق;1020;31365;25500;35445;3.5172413793103448;108.15517241379311;87.93103448275862;122.22413793103448;17.0;23.852459016393443;0.5862068965517241;0.5963114754098361;50064.03278688523;26670.0;31.290020491803272;31.712247324613557
ک;0;27285;29325;42075;0.0;83.82488479262673;90.09216589861751;129.2626728110599;24.400516795865634;20.04909560723514;0.5809646856158485;0.6467450195882304;33098.06718346253;55906.91989664083;34.44127698591314;31.693265247528814
گ;0;42075;29325;48450;0.0;105.45112781954887;73.49624060150376;121.42857142857143;25.54468085106383;23.214893617021275;0.6082066869300912;0.6109182530795072;66003.29574468086;60946.561702127656;45.708653562798375;34.55020504655763
ل;510;21165;24225;25500;1.8681318681318682;77.52747252747253;88.73626373626374;93.4065934065934;15.189285714285715;26.71785714285714;0.5842032967032967;0.6361394557823129;44810.71071428571;19080.96785714286;25.4028972303207;28.226283812341507
م;14790;20400;11475;0;113.33333333333333;156.32183908045977;87.93103448275862;0.0;7.748633879781421;9.978142076502733;0.4304796599878567;0.3440738647069908;8983.912568306012;4170.437158469946;10.682416846975045;12.87171962490724
ن;5355;13005;22695;23970;23.333333333333332;56.666666666666664;98.88888888888889;104.44444444444444;13.772549019607844;22.11764705882353;0.5100944081336238;0.6505190311418685;23780.470588235294;18684.807843137252;20.57134133930389;25.63073778208128
و;0;23970;9180;15555;0.0;181.5909090909091;69.54545454545455;117.8409090909091;14.24607329842932;12.6282722513089;0.6475487862922418;0.5261780104712042;10208.607329842933;4811.434554973822;17.72327661431065;9.940980485483102
ه;6120;7650;9435;10200;125.53846153846153;156.92307692307693;193.53846153846155;209.23076923076923;5.977099236641221;7.847328244274809;0.45977686435701703;0.5231552162849873;2168.946564885496;1556.9312977099237;9.639762510602205;9.212611229052802
ی;4335;18615;23205;30345;21.5136476426799;92.38213399503722;115.16129032258064;150.5955334987593;16.283333333333335;15.286666666666667;0.5252688172043011;0.587948717948718;17019.34666666667;25148.916666666668;25.17654832347141;26.169528269164065
